uuid,paper_id,title,paper_link,doi,download_link,code,reason
b3623173-608a-4bcb-bf4d-146e165e5378,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
4da29f6e-a531-4432-8eee-cc84a76cf625,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,403,Forbidden
b3623173-608a-4bcb-bf4d-146e165e5378,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
4da29f6e-a531-4432-8eee-cc84a76cf625,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,Not Found
b3623173-608a-4bcb-bf4d-146e165e5378,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
4da29f6e-a531-4432-8eee-cc84a76cf625,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,Not Found
39d65d57-5ab0-4401-ae6d-ec780a2134c3,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
b3623173-608a-4bcb-bf4d-146e165e5378,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
4da29f6e-a531-4432-8eee-cc84a76cf625,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,Not Found
39d65d57-5ab0-4401-ae6d-ec780a2134c3,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
2c3fcc7e-78cb-45e7-a3f3-2a3004154f7f,8dce0155d6213df30a19b09111d9038a60845543,Building enriched document representations using aggregated anchor text,https://www.semanticscholar.org/paper/8dce0155d6213df30a19b09111d9038a60845543,https://doi.org/10.1145/1571941.1571981,http://ciir.cs.umass.edu/~metzler/fp094-metzler.pdf;http://don-metzler.net/papers/fp094-metzler.pdf,404.0,Not Found
2c3fcc7e-78cb-45e7-a3f3-2a3004154f7f,8dce0155d6213df30a19b09111d9038a60845543,Building enriched document representations using aggregated anchor text,https://www.semanticscholar.org/paper/8dce0155d6213df30a19b09111d9038a60845543,https://doi.org/10.1145/1571941.1571981,http://ciir.cs.umass.edu/~metzler/fp094-metzler.pdf;http://don-metzler.net/papers/fp094-metzler.pdf,,Not Found
14319e81-b896-49d3-bc2b-ed6113412ad7,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,0
67107590-9405-4733-bb4f-9a0e4cb74710,2e77aff5b567d6508830cd4751053bd1ca2b876b,Parallel crawlers,https://www.semanticscholar.org/paper/2e77aff5b567d6508830cd4751053bd1ca2b876b,https://doi.org/10.1145/511446.511464,http://oak.cs.ucla.edu/~cho/papers/cho-parallel.pdf;http://www2002.org/presentations/cho.pdf,,0
67107590-9405-4733-bb4f-9a0e4cb74710,2e77aff5b567d6508830cd4751053bd1ca2b876b,Parallel crawlers,https://www.semanticscholar.org/paper/2e77aff5b567d6508830cd4751053bd1ca2b876b,https://doi.org/10.1145/511446.511464,http://oak.cs.ucla.edu/~cho/papers/cho-parallel.pdf;http://www2002.org/presentations/cho.pdf,,0
b3623173-608a-4bcb-bf4d-146e165e5378,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
4da29f6e-a531-4432-8eee-cc84a76cf625,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,Not Found
39d65d57-5ab0-4401-ae6d-ec780a2134c3,32448280ef3d03af2fb639bbe1b3709c4bb6c78a,Phrasier: a system for interactive document retrieval using keyphrases,https://www.semanticscholar.org/paper/32448280ef3d03af2fb639bbe1b3709c4bb6c78a,https://doi.org/10.1145/312624.312671,http://www.cs.waikato.ac.nz/~stevej/Research/PAPERS/sigir99.pdf,404,Not Found
2c3fcc7e-78cb-45e7-a3f3-2a3004154f7f,8dce0155d6213df30a19b09111d9038a60845543,Building enriched document representations using aggregated anchor text,https://www.semanticscholar.org/paper/8dce0155d6213df30a19b09111d9038a60845543,https://doi.org/10.1145/1571941.1571981,http://ciir.cs.umass.edu/~metzler/fp094-metzler.pdf;http://don-metzler.net/papers/fp094-metzler.pdf,404.0,Not Found
2c3fcc7e-78cb-45e7-a3f3-2a3004154f7f,8dce0155d6213df30a19b09111d9038a60845543,Building enriched document representations using aggregated anchor text,https://www.semanticscholar.org/paper/8dce0155d6213df30a19b09111d9038a60845543,https://doi.org/10.1145/1571941.1571981,http://ciir.cs.umass.edu/~metzler/fp094-metzler.pdf;http://don-metzler.net/papers/fp094-metzler.pdf,,Not Found
14319e81-b896-49d3-bc2b-ed6113412ad7,b62222ceaf242b0560a3dd1e5631bdb326c9b346,A Comparative Study on Key Phrase Extraction Methods in Automatic Web Site Summarization,https://www.semanticscholar.org/paper/b62222ceaf242b0560a3dd1e5631bdb326c9b346,,http://web.cs.dal.ca/~yongzhen/publication/paper/JDIM2007.pdf,,Not Found
67107590-9405-4733-bb4f-9a0e4cb74710,2e77aff5b567d6508830cd4751053bd1ca2b876b,Parallel crawlers,https://www.semanticscholar.org/paper/2e77aff5b567d6508830cd4751053bd1ca2b876b,https://doi.org/10.1145/511446.511464,http://oak.cs.ucla.edu/~cho/papers/cho-parallel.pdf;http://www2002.org/presentations/cho.pdf,,Not Found
67107590-9405-4733-bb4f-9a0e4cb74710,2e77aff5b567d6508830cd4751053bd1ca2b876b,Parallel crawlers,https://www.semanticscholar.org/paper/2e77aff5b567d6508830cd4751053bd1ca2b876b,https://doi.org/10.1145/511446.511464,http://oak.cs.ucla.edu/~cho/papers/cho-parallel.pdf;http://www2002.org/presentations/cho.pdf,,Not Found
d3c99f14-05df-4bff-b9b3-3a06f62352aa,f777c612b9ea1ab522f9f75c211549c547464caa,Evaluating topic-driven web crawlers,https://www.semanticscholar.org/paper/f777c612b9ea1ab522f9f75c211549c547464caa,https://doi.org/10.1145/383952.383995,http://dollar.biz.uiowa.edu/~gpant/Papers/sigir-01.pdf;http://www.n3labs.com/pdf/focusreview.pdf,404,Not Found
d3c99f14-05df-4bff-b9b3-3a06f62352aa,f777c612b9ea1ab522f9f75c211549c547464caa,Evaluating topic-driven web crawlers,https://www.semanticscholar.org/paper/f777c612b9ea1ab522f9f75c211549c547464caa,https://doi.org/10.1145/383952.383995,http://dollar.biz.uiowa.edu/~gpant/Papers/sigir-01.pdf;http://www.n3labs.com/pdf/focusreview.pdf,404,Not Found
